hour_of_year,datetime,month,hour_of_day,season,wind_speed_10m_ms,wind_direction_10m_deg,wind_speed_50m_ms,wind_speed_15m_ms,wind_speed_20m_ms,wind_speed_25m_ms,wind_speed_30m_ms,wind_speed_40m_ms,air_temp_c,relative_humidity_pct,air_density_kgm3,outlier_flag,wind_speed_50m_ms_derived,alpha_actual
103,2023-01-05 06:00:00,1,6,Amihan,3.15,54.0,4.42,3.347001206396084,3.494203283109409,3.612825957612432,3.712730985384237,3.876017963077007,25.37,85.38,1.120892235026129,0,4.007602642029286,0.2104692828689252
104,2023-01-05 07:00:00,1,7,Amihan,2.98,51.8,3.96,3.166369395257248,3.305627232909854,3.417848048788904,3.512361376649215,3.6668360412601526,26.34,83.18,1.1172618451367329,0,3.791319324840405,0.1766583989059086
105,2023-01-05 08:00:00,1,8,Amihan,3.21,52.2,4.13,3.4107536103274376,3.560759536121017,3.681641690138383,3.783449670820128,3.949846876659426,27.02,81.31,1.114730819202452,0,4.083937930448892,0.1565804234410537
106,2023-01-05 09:00:00,1,9,Amihan,3.42,47.3,3.99,3.633887024087177,3.793706421661644,3.9224967539792113,4.030965069845744,4.208248074197893,27.45,79.91,1.1131362275449102,0,4.351111439917511,0.0957792025627892
107,2023-01-05 10:00:00,1,10,Amihan,3.55,35.3,3.99,3.7720172326051102,3.937911636520128,4.071597507785438,4.184188888290172,4.368210720293135,27.72,79.74,1.1121373018247085,0,4.516504564826656,0.0725990275932635
108,2023-01-05 11:00:00,1,11,Amihan,3.67,25.7,4.05,3.899522040467818,4.071024142543344,4.209228972837341,4.325626259161953,4.515868547457973,27.83,80.14,1.1117308459033826,0,4.669175141665867,0.0612171605321264
109,2023-01-05 12:00:00,1,12,Amihan,3.75,16.1,4.13,3.984525245709624,4.159765813225487,4.300983282871942,4.41991783974314,4.614307098901199,27.74,80.75,1.112063378643358,0,4.770955526225341,0.0599722215097092
110,2023-01-05 13:00:00,1,13,Amihan,3.87,9.7,4.29,4.112030053572331,4.292878319248703,4.438614747923845,4.561355210614921,4.761964926066037,27.57,81.88,1.1126920391061452,0,4.923626103064552,0.064017521336011
111,2023-01-05 14:00:00,1,14,Amihan,4.07,7.6,4.67,4.324538066676845,4.514732495954062,4.668000523010348,4.797084162067888,5.008061304674102,27.43,83.08,1.1132102934326968,0,5.1780770644632375,0.0854435397376243
112,2023-01-05 15:00:00,1,15,Amihan,3.94,11.7,4.91,4.186407858158911,4.370527281095579,4.518899769204121,4.643860343623459,4.848098658578859,27.22,84.6,1.1139885807504075,0,5.012683939554091,0.1367516055115911
113,2023-01-05 16:00:00,1,16,Amihan,3.57,17.8,4.9,3.793268033915561,3.960097054190664,4.094536085294089,4.207761783435469,4.392820358153941,26.95,86.51,1.1149908363878709,0,4.541949660966525,0.1967578909869874
114,2023-01-05 17:00:00,1,17,Amihan,3.32,23.2,4.83,3.52763301753492,3.682779333308965,3.80780386643596,3.91310059411926,4.085199884893861,26.44,88.46,1.1168889148502954,0,4.223885959218168,0.2329270870530919
